Date,State,District,Mandi,Commodity,Variety,Min Price,Max Price,Modal Price,Unit,Arrival Quantity,Grade,Market Fee (%),Trader Count
2024-01-23,Gujarat,Ahmedabad,Main Mandi,Rice,Kolam,1051,1163,1090.0,Quintal,97.71,C,1.84,8
2024-03-14,Karnataka,Bangalore,Agro Market,Maize,White,1087,1382,1270.5,Quintal,31.89,B,1.48,10
2024-05-23,Maharashtra,Nashik,Agro Market,Wheat,Sharbati,984,1154,1049.0,Quintal,43.95,C,1.18,15
2024-05-06,Gujarat,Ahmedabad,Main Mandi,Potato,Kufri Jyoti,897,1216,1014.5,Quintal,45.7,B,2.96,14
2024-01-30,Gujarat,Surat,Wholesale Yard,Wheat,Sharbati,973,1140,1012.5,Quintal,82.24,B,1.46,5
2024-06-11,Gujarat,Ahmedabad,Sub Mandi,Wheat,Lokwan,849,1045,936.0,Quintal,36.96,A,1.9,13
2024-05-25,Maharashtra,Pune,Agro Market,Onion,Red,904,1183,998.5,Quintal,98.99,B,2.56,2
2024-04-12,Punjab,Patiala,Agro Market,Tomato,Desi,839,1118,996.5,Quintal,39.62,B,1.17,14
2024-05-28,Gujarat,Surat,Sub Mandi,Sugarcane,CO 0238,831,1227,1051.0,Quintal,74.03,C,1.54,8
2024-03-06,Gujarat,Ahmedabad,Wholesale Yard,Tomato,Desi,1075,1454,1287.5,Quintal,33.78,B,2.49,15
2024-04-22,Gujarat,Vadodara,Agro Market,Onion,Red,882,1200,1055.0,Quintal,88.83,C,1.46,5
2024-02-06,Punjab,Patiala,Sub Mandi,Potato,Kufri Jyoti,1152,1322,1275.0,Quintal,86.36,A,2.97,13
2024-03-31,Maharashtra,Nashik,Sub Mandi,Potato,Chipsona,1096,1361,1216.5,Quintal,70.21,C,2.01,15
2024-05-07,Punjab,Amritsar,Wholesale Yard,Tomato,Hybrid,1041,1271,1111.0,Quintal,68.21,A,2.93,3
2024-02-26,Gujarat,Surat,Wholesale Yard,Maize,White,801,1104,950.5,Quintal,51.85,A,2.56,14
2024-02-08,Karnataka,Mysore,Sub Mandi,Maize,Yellow,964,1129,1043.5,Quintal,8.87,B,1.64,13
2024-03-25,Gujarat,Surat,Agro Market,Sugarcane,CO 0238,1111,1389,1225.0,Quintal,82.91,C,1.51,8
2024-03-11,Uttar Pradesh,Kanpur,Main Mandi,Onion,Red,978,1114,1073.0,Quintal,91.93,B,1.57,5
2024-01-09,Punjab,Ludhiana,Wholesale Yard,Tomato,Desi,1023,1304,1200.5,Quintal,53.23,A,2.93,14
2024-01-10,Maharashtra,Nagpur,Main Mandi,Onion,White,1191,1388,1311.5,Quintal,77.49,A,1.8,9
2024-02-12,Gujarat,Surat,Sub Mandi,Sugarcane,CO 86032,898,1265,1038.5,Quintal,89.64,C,1.01,14
2024-01-06,Punjab,Amritsar,Wholesale Yard,Maize,Yellow,1123,1361,1209.0,Quintal,71.66,B,1.48,5
2024-01-02,Karnataka,Hubli,Wholesale Yard,Rice,Sona Masoori,956,1254,1084.0,Quintal,33.3,B,2.66,7
2024-01-11,Gujarat,Vadodara,Wholesale Yard,Wheat,Durum,1018,1154,1089.0,Quintal,80.24,B,1.21,11
2024-05-27,Maharashtra,Pune,Main Mandi,Wheat,Sharbati,1012,1197,1110.5,Quintal,57.89,C,2.6,7
2024-03-26,Maharashtra,Nagpur,Wholesale Yard,Sugarcane,CO 86032,834,967,914.5,Quintal,36.72,B,1.62,11
